"Estacion","Fecha inicial","Fecha final","SO2"
"FACATATIVA - URBANO","2024-08-08","","3.68083333"
"FACATATIVA - URBANO","2024-08-07","","3.45708333"
"FACATATIVA - URBANO","2024-08-06","","3.09166667"
"FACATATIVA - URBANO","2024-08-05","","3.82208333"
"FACATATIVA - URBANO","2024-08-04","","3.69458333"
"FACATATIVA - URBANO","2024-08-03","","3.40791667"
"FACATATIVA - URBANO","2024-08-02","","2.87875"
"FACATATIVA - URBANO","2024-08-01","","3.12208333"
"FACATATIVA - URBANO","2024-07-31","","2.98416667"
"FACATATIVA - URBANO","2024-07-30","","3.42791667"
"FACATATIVA - URBANO","2024-07-29","","3.81318182"
"FACATATIVA - URBANO","2024-07-28","","3.33869565"
"FACATATIVA - URBANO","2024-07-27","","2.99958333"
"FACATATIVA - URBANO","2024-07-26","","2.85916667"
"FACATATIVA - URBANO","2024-07-25","","3.57458333"
"FACATATIVA - URBANO","2024-07-24","","3.50458333"
"FACATATIVA - URBANO","2024-07-23","","2.95666667"
"FACATATIVA - URBANO","2024-07-22","","3.09208333"
"FACATATIVA - URBANO","2024-07-21","","3.26666667"
"FACATATIVA - URBANO","2024-07-20","","3.21208333"
"FACATATIVA - URBANO","2024-07-19","","3.40708333"
"FACATATIVA - URBANO","2024-07-18","","2.99833333"
"FACATATIVA - URBANO","2024-07-17","","3.09458333"
"FACATATIVA - URBANO","2024-07-16","","3.49208333"
"FACATATIVA - URBANO","2024-07-15","","3.445"
"FACATATIVA - URBANO","2024-07-14","","3.29"
"FACATATIVA - URBANO","2024-07-13","","3.29333333"
"FACATATIVA - URBANO","2024-07-12","","3.86"
"FACATATIVA - URBANO","2024-07-11","","3.76791667"
"FACATATIVA - URBANO","2024-07-10","","3.16291667"
"FACATATIVA - URBANO","2024-07-09","","3.32583333"
"FACATATIVA - URBANO","2024-07-08","","3.06181818"
"FACATATIVA - URBANO","2024-07-07","","2.87416667"
